case,stat,degree,alpha,r2_value
cloud_timesteps,mean,1,0.000760573247537887,0.8614745214451858
cloud_timesteps,mean,1,0.0009079545772236219,0.8614120403325165
cloud_timesteps,mean,1,0.0010838949660272655,0.8613373861585524
cloud_timesteps,mean,1,0.0012939284925152128,0.861248172315171
cloud_timesteps,mean,1,0.0015446616104134332,0.8611415380447536
cloud_timesteps,mean,1,0.0018439809498645623,0.8610140516774594
cloud_timesteps,mean,1,0.0022013013857147146,0.8608615930989831
cloud_timesteps,mean,1,0.002627862175639846,0.8606792106051826
cloud_timesteps,mean,1,0.003137080482923729,0.8604609460403398
cloud_timesteps,mean,1,0.0037449734036925936,0.8601996204941159
cloud_timesteps,mean,1,0.0044706617731700244,0.8598865707405642
cloud_timesteps,mean,1,0.005336971597816022,0.859511323904232
cloud_timesteps,mean,1,0.006371152030966143,0.859061194364204
cloud_timesteps,mean,1,0.0076057324753788695,0.858520782454747
cloud_timesteps,mean,1,0.009079545772236217,0.8578713488623768
cloud_timesteps,mean,1,0.010838949660272662,0.8570900315192225
cloud_timesteps,mean,1,0.012939284925152129,0.8561488630570583
cloud_timesteps,mean,1,0.01544661610413434,0.8550135364495693
cloud_timesteps,mean,1,0.018439809498645623,0.8536418545525427
cloud_timesteps,mean,1,0.022013013857147146,0.8519817866203592
cloud_timesteps,mean,1,0.026278621756398474,0.8499690432539175
cloud_timesteps,mean,1,0.03137080482923729,0.8475240738847905
cloud_timesteps,mean,1,0.03744973403692594,0.8445483934057334
cloud_timesteps,mean,1,0.04470661773170027,0.8409201656869915
cloud_timesteps,mean,1,0.05336971597816022,0.8364890240844407
cloud_timesteps,mean,1,0.0637115203096614,0.8310702088735946
cloud_timesteps,mean,1,0.0760573247537887,0.8244382662544492
cloud_timesteps,mean,1,0.09079545772236218,0.816320795178694
cloud_timesteps,mean,1,0.10838949660272666,0.8063930401304693
cloud_timesteps,mean,1,0.12939284925152128,0.7942744637005823
cloud_timesteps,mean,1,0.15446616104134347,0.7795286804812963
cloud_timesteps,mean,1,0.18439809498645623,0.7616681017225577
cloud_timesteps,mean,1,0.22013013857147148,0.7401640891063168
cloud_timesteps,mean,1,0.26278621756398485,0.7144621943096585
cloud_timesteps,mean,1,0.3137080482923729,0.6840003809322557
cloud_timesteps,mean,1,0.37449734036925936,0.6482268746228365
cloud_timesteps,mean,1,0.44706617731700243,0.6066148407740554
cloud_timesteps,mean,1,0.5336971597816021,0.5586731026438884
cloud_timesteps,mean,1,0.6371152030966143,0.5039453520324906
cloud_timesteps,mean,1,0.760573247537887,0.44858862333214794
cloud_timesteps,mean,2,0.000760573247537887,0.9843410283422027
cloud_timesteps,mean,2,0.0009079545772236219,0.9837937482901481
cloud_timesteps,mean,2,0.0010838949660272655,0.9831173081765463
cloud_timesteps,mean,2,0.0012939284925152128,0.9822806485123792
cloud_timesteps,mean,2,0.0015446616104134332,0.9812371087900816
cloud_timesteps,mean,2,0.0018439809498645623,0.9799335093849795
cloud_timesteps,mean,2,0.0022013013857147146,0.9782922662758669
cloud_timesteps,mean,2,0.002627862175639846,0.9762208000338461
cloud_timesteps,mean,2,0.003137080482923729,0.9736065149452079
cloud_timesteps,mean,2,0.0037449734036925936,0.9703102196200882
cloud_timesteps,mean,2,0.0044706617731700244,0.9661317680924665
cloud_timesteps,mean,2,0.005336971597816022,0.960825979257461
cloud_timesteps,mean,2,0.006371152030966143,0.9541180109364635
cloud_timesteps,mean,2,0.0076057324753788695,0.9456777789944235
cloud_timesteps,mean,2,0.009079545772236217,0.935146446673363
cloud_timesteps,mean,2,0.010838949660272662,0.9221157743042703
cloud_timesteps,mean,2,0.012939284925152129,0.9061493678399749
cloud_timesteps,mean,2,0.01544661610413434,0.8880021959806305
cloud_timesteps,mean,2,0.018439809498645623,0.8808230692979411
cloud_timesteps,mean,2,0.022013013857147146,0.8784295806838243
cloud_timesteps,mean,2,0.026278621756398474,0.8755515751464907
cloud_timesteps,mean,2,0.03137080482923729,0.8720882417094483
cloud_timesteps,mean,2,0.03744973403692594,0.8679174788742632
cloud_timesteps,mean,2,0.04470661773170027,0.8628917288830422
cloud_timesteps,mean,2,0.05336971597816022,0.8568333672297761
cloud_timesteps,mean,2,0.0637115203096614,0.8495298860283507
cloud_timesteps,mean,2,0.0760573247537887,0.8407292906193181
cloud_timesteps,mean,2,0.09079545772236218,0.8301365373198525
cloud_timesteps,mean,2,0.10838949660272666,0.8174120311707119
cloud_timesteps,mean,2,0.12939284925152128,0.8021739269429446
cloud_timesteps,mean,2,0.15446616104134347,0.7840049642894353
cloud_timesteps,mean,2,0.18439809498645623,0.7624675721219473
cloud_timesteps,mean,2,0.22013013857147148,0.7371255587366579
cloud_timesteps,mean,2,0.26278621756398485,0.7075702152564902
cloud_timesteps,mean,2,0.3137080482923729,0.6734521558158498
cloud_timesteps,mean,2,0.37449734036925936,0.6345000948217431
cloud_timesteps,mean,2,0.44706617731700243,0.5905270026521794
cloud_timesteps,mean,2,0.5336971597816021,0.5414052275215336
cloud_timesteps,mean,2,0.6371152030966143,0.48699674358838535
cloud_timesteps,mean,2,0.760573247537887,0.4336240399399502
cloud_timesteps,mean,3,0.000760573247537887,0.9848859688586424
cloud_timesteps,mean,3,0.0009079545772236219,0.9838512109686232
cloud_timesteps,mean,3,0.0010838949660272655,0.9825808807831604
cloud_timesteps,mean,3,0.0012939284925152128,0.9799300479736038
cloud_timesteps,mean,3,0.0015446616104134332,0.9774006542339155
cloud_timesteps,mean,3,0.0018439809498645623,0.9743538318950394
cloud_timesteps,mean,3,0.0022013013857147146,0.9726383288260114
cloud_timesteps,mean,3,0.002627862175639846,0.9714262621782218
cloud_timesteps,mean,3,0.003137080482923729,0.9699413616550518
cloud_timesteps,mean,3,0.0037449734036925936,0.9681149530728058
cloud_timesteps,mean,3,0.0044706617731700244,0.965866479581131
cloud_timesteps,mean,3,0.005336971597816022,0.9630829706611557
cloud_timesteps,mean,3,0.006371152030966143,0.9596360382436806
cloud_timesteps,mean,3,0.0076057324753788695,0.9553559962535638
cloud_timesteps,mean,3,0.009079545772236217,0.9499824758250253
cloud_timesteps,mean,3,0.010838949660272662,0.9431439885730551
cloud_timesteps,mean,3,0.012939284925152129,0.9349413646139262
cloud_timesteps,mean,3,0.01544661610413434,0.92483403884205
cloud_timesteps,mean,3,0.018439809498645623,0.9124574261419145
cloud_timesteps,mean,3,0.022013013857147146,0.8974199769554956
cloud_timesteps,mean,3,0.026278621756398474,0.8801275747458874
cloud_timesteps,mean,3,0.03137080482923729,0.871951496423274
cloud_timesteps,mean,3,0.03744973403692594,0.8677530957597807
cloud_timesteps,mean,3,0.04470661773170027,0.8626960736076918
cloud_timesteps,mean,3,0.05336971597816022,0.8566023978446518
cloud_timesteps,mean,3,0.0637115203096614,0.8492601018716023
cloud_timesteps,mean,3,0.0760573247537887,0.8404173043680203
cloud_timesteps,mean,3,0.09079545772236218,0.8297799938496715
cloud_timesteps,mean,3,0.10838949660272666,0.817010348570648
cloud_timesteps,mean,3,0.12939284925152128,0.801729751485247
cloud_timesteps,mean,3,0.15446616104134347,0.7835240123924606
cloud_timesteps,mean,3,0.18439809498645623,0.7619621808800321
cloud_timesteps,mean,3,0.22013013857147148,0.7366149183451334
cloud_timesteps,mean,3,0.26278621756398485,0.707085848900069
cloud_timesteps,mean,3,0.3137080482923729,0.6730365231921729
cloud_timesteps,mean,3,0.37449734036925936,0.6342097967961842
cloud_timesteps,mean,3,0.44706617731700243,0.5904355041063447
cloud_timesteps,mean,3,0.5336971597816021,0.5414057081978798
cloud_timesteps,mean,3,0.6371152030966143,0.486996749330676
cloud_timesteps,mean,3,0.760573247537887,0.43362403684886675
cloud_timesteps,mean,4,0.000760573247537887,0.9864115021023748
cloud_timesteps,mean,4,0.0009079545772236219,0.9845931626239499
cloud_timesteps,mean,4,0.0010838949660272655,0.9831864428986625
cloud_timesteps,mean,4,0.0012939284925152128,0.9806253177158725
cloud_timesteps,mean,4,0.0015446616104134332,0.9781288851326305
cloud_timesteps,mean,4,0.0018439809498645623,0.9750143253939573
cloud_timesteps,mean,4,0.0022013013857147146,0.9732227370087168
cloud_timesteps,mean,4,0.002627862175639846,0.9718327793674444
cloud_timesteps,mean,4,0.003137080482923729,0.9701687511929851
cloud_timesteps,mean,4,0.0037449734036925936,0.9678177774496474
cloud_timesteps,mean,4,0.0044706617731700244,0.9641348368969217
cloud_timesteps,mean,4,0.005336971597816022,0.959099922862338
cloud_timesteps,mean,4,0.006371152030966143,0.9541772978122424
cloud_timesteps,mean,4,0.0076057324753788695,0.9510093629042966
cloud_timesteps,mean,4,0.009079545772236217,0.9471281507103996
cloud_timesteps,mean,4,0.010838949660272662,0.9423539715305731
cloud_timesteps,mean,4,0.012939284925152129,0.9364914199698584
cloud_timesteps,mean,4,0.01544661610413434,0.9292977189215954
cloud_timesteps,mean,4,0.018439809498645623,0.9204467713825881
cloud_timesteps,mean,4,0.022013013857147146,0.9095206173048241
cloud_timesteps,mean,4,0.026278621756398474,0.8964801834973486
cloud_timesteps,mean,4,0.03137080482923729,0.8808140658295647
cloud_timesteps,mean,4,0.03744973403692594,0.8680340813282692
cloud_timesteps,mean,4,0.04470661773170027,0.8626960377618567
cloud_timesteps,mean,4,0.05336971597816022,0.8566025968849523
cloud_timesteps,mean,4,0.0637115203096614,0.8492600288739396
cloud_timesteps,mean,4,0.0760573247537887,0.8404174303092071
cloud_timesteps,mean,4,0.09079545772236218,0.829780141320059
cloud_timesteps,mean,4,0.10838949660272666,0.8170105391248461
cloud_timesteps,mean,4,0.12939284925152128,0.8017294677266975
cloud_timesteps,mean,4,0.15446616104134347,0.7835239847190019
cloud_timesteps,mean,4,0.18439809498645623,0.7619618328256521
cloud_timesteps,mean,4,0.22013013857147148,0.7366150998465908
cloud_timesteps,mean,4,0.26278621756398485,0.7070862904251068
cloud_timesteps,mean,4,0.3137080482923729,0.6730367879356445
cloud_timesteps,mean,4,0.37449734036925936,0.6342099293176117
cloud_timesteps,mean,4,0.44706617731700243,0.5904353863237526
cloud_timesteps,mean,4,0.5336971597816021,0.5414057017758187
cloud_timesteps,mean,4,0.6371152030966143,0.4869967461354783
cloud_timesteps,mean,4,0.760573247537887,0.4336240360793576
cloud_timesteps,mean,5,0.000760573247537887,0.9881245003528987
cloud_timesteps,mean,5,0.0009079545772236219,0.9865230112433672
cloud_timesteps,mean,5,0.0010838949660272655,0.9843533426856641
cloud_timesteps,mean,5,0.0012939284925152128,0.9818688511800115
cloud_timesteps,mean,5,0.0015446616104134332,0.9792192363061121
cloud_timesteps,mean,5,0.0018439809498645623,0.9758781747831853
cloud_timesteps,mean,5,0.0022013013857147146,0.973585332831559
cloud_timesteps,mean,5,0.002627862175639846,0.9722157401453518
cloud_timesteps,mean,5,0.003137080482923729,0.9705550181243723
cloud_timesteps,mean,5,0.0037449734036925936,0.9681153374589275
cloud_timesteps,mean,5,0.0044706617731700244,0.96441267310754
cloud_timesteps,mean,5,0.005336971597816022,0.9594181169889262
cloud_timesteps,mean,5,0.006371152030966143,0.954371563370912
cloud_timesteps,mean,5,0.0076057324753788695,0.950882613427978
cloud_timesteps,mean,5,0.009079545772236217,0.9455331110550947
cloud_timesteps,mean,5,0.010838949660272662,0.9390583013558291
cloud_timesteps,mean,5,0.012939284925152129,0.9330907356403735
cloud_timesteps,mean,5,0.01544661610413434,0.9272398418437913
cloud_timesteps,mean,5,0.018439809498645623,0.9201046288132708
cloud_timesteps,mean,5,0.022013013857147146,0.9114298587619487
cloud_timesteps,mean,5,0.026278621756398474,0.9008725102423767
cloud_timesteps,mean,5,0.03137080482923729,0.8880642727980925
cloud_timesteps,mean,5,0.03744973403692594,0.8728678508459311
