error_bound,compression_ratio_hat,psnr_hat,ssim_hat,compression_ratio,psnr,ssim,feasible_surrogate,feasible_measured
0.0002167704104819694,81.65688127903883,84.61898104178799,0.9796224213716948,83.6046468800019,84.7005363199995,0.9796758463999994,True,True
0.000233572146909,84.6559227367712,84.01691879823747,0.978803355982028,86.0171,84.0682,0.978844,True,True
0.00025032256483831716,87.56357968798125,83.45920722923648,0.9780172242735719,89.10353147000252,83.50236927999954,0.9777596358999991,True,True
0.0002890679882365475,94.01718195831421,82.30299712889686,0.976299956553486,95.51672022000294,82.32664927999946,0.975506473399999,True,True
0.00033381050516598926,101.07476818118641,81.15035074076913,0.9744643365765036,101.92990897000335,81.15092927999939,0.9732533108999989,True,True
0.0003854783576657717,108.79999606110235,80.00126806485326,0.9725038947924619,108.34309772000375,79.97520927999932,0.9710001483999987,True,False
0.0004281332398719,114.89514357575491,79.16553148112844,0.9709917060318672,113.02,79.1178,0.969357,False,False
0.0004451434629201127,117.26391940045843,78.85574910114929,0.9704119867707102,116.41934810000788,78.7755889699992,0.9684926793999981,False,False
0.0005140436515824259,126.54591537389503,77.7137938496572,0.9681818088397511,128.97526060000763,77.51159021999923,0.9653002043999981,False,False
0.0005936083481913702,136.7347358952381,76.57540231037697,0.9658064164951716,141.53117310000735,76.24759146999926,0.9621077293999981,False,False
0.0006854882264526614,147.929700643392,75.44057448330865,0.9632787457263311,154.08708560000707,74.98359271999928,0.9589152543999981,False,False
